frame,timestep,n_atoms,surface_area_A2,filled_volume_A3
387,387000,42292,270462.1616823391,10927224.373759352
388,388000,42362,270884.00405801355,10946419.507686703
389,389000,42334,270633.6468736709,10938212.892448884
390,390000,42378,270878.9809709794,10949294.141480753
391,391000,42456,271383.32537874125,10969741.132496934
392,392000,42476,271497.05119614763,10975722.225191489
393,393000,42526,271760.9717410725,10989075.362125635
394,394000,42566,272024.79641150724,10999322.04009535
395,395000,42584,272068.7840988227,11003726.720788721
396,396000,42642,272398.25651791296,11019537.205857908
397,397000,42698,272776.0623630586,11033864.009125497
398,398000,42690,272678.29890266125,11030803.915688336
399,399000,42730,272922.0672676745,11040772.402966674
400,400000,42782,273217.043710939,11054589.190592801
401,401000,42844,273681.7907133604,11071836.992837928
402,402000,42878,273783.61156272265,11079904.513190698
403,403000,42878,273775.4391436953,11079440.862657212
404,404000,42900,273902.0490029392,11085607.415715413
405,405000,42902,273878.3200802674,11086673.812225835
406,406000,42940,274195.1375709269,11095668.63335889
407,407000,42946,274125.2054404754,11098033.251188459
408,408000,42950,274041.1775436609,11097105.95009537
409,409000,42970,274116.6226173141,11101510.630441833
410,410000,43008,274325.2207922219,11111618.213059014
411,411000,42952,273979.4627606434,11095900.458504362
412,412000,43014,274412.84293623513,11113751.00575391
413,413000,43012,274374.5780781885,11111293.657984458
414,414000,43074,274734.11772122374,11128355.999386432
415,415000,43118,275042.56393406284,11140179.088991119
416,416000,43166,275321.92083002644,11152604.925211923
417,417000,43222,275657.0071136131,11167766.299768593
418,418000,43210,275585.3413911205,11164938.031061389
419,419000,43172,275406.7599216094,11152373.100095214
420,420000,43268,275988.07513219345,11177595.692685047
421,421000,43300,276176.3519652066,11186868.70433034
422,422000,43310,276191.82350639,11189140.592206066
423,423000,43318,276301.5847834007,11190856.099485256
424,424000,43368,276580.8760193405,11203467.395523554
425,425000,43376,276530.37781985605,11205600.187809242
426,426000,43416,276694.66732251126,11215985.961545862
427,427000,43442,276847.0595346738,11222477.069257528
